Month,City,State,Sales,Marketing_Spend,Customer_Count,Product_Category,Email
2023-11-01,Jaipur,Rajasthan,29878,2790,106,Grocery,hunar.baral@renusharmafoundation.org
2022-09-01,Delhi,Delhi,43635,4706,270,Home Decor,alia.iyengar@renusharmafoundation.org
2022-04-01,Lucknow,Uttar Pradesh,48832,2540,453,Electronics,romil.mahajan@renusharmafoundation.org
2024-05-01,Delhi,Delhi,56112,6382,297,Clothing,fateh.raju@yahoo.com
2021-02-01,Kolkata,West Bengal,59156,4038,114,Electronics,dharmajan.chaudhary@yahoo.com
2021-08-01,Jaipur,Rajasthan,80967,8688,125,Clothing,charvi.issac@renusharmafoundation.org
2022-05-01,Jaipur,Rajasthan,50492,3053,79,Electronics,jayan.acharya@yahoo.com
2024-07-01,Ahmedabad,Gujarat,53594,4508,195,Books,siya.tank@gmail.com
2023-12-01,Bengaluru,Karnataka,45115,6624,288,Grocery,hazel.sangha@yahoo.com
2023-05-01,Bhopal,Madhya Pradesh,40122,3245,262,Books,aarush.chopra@yahoo.com
2022-05-01,Bhopal,Madhya Pradesh,20288,1252,276,Clothing,samiha.gaba@gmail.com
2021-02-01,Ahmedabad,Gujarat,60347,7650,424,Books,kimaya.kohli@yahoo.com
2024-12-01,Delhi,Delhi,49411,4847,210,Electronics,kanav.bhargava@yahoo.com
2021-03-01,Mumbai,Maharashtra,30943,4338,70,Books,mahika.apte@yahoo.com
2023-04-01,Hyderabad,Telangana,73451,4023,66,Electronics,miraya.shukla@gmail.com
2023-11-01,Bengaluru,Karnataka,27395,1649,487,Grocery,hiran.balay@renusharmafoundation.org
2023-12-01,Bhopal,Madhya Pradesh,46041,3385,494,Clothing,bhamini.ahluwalia@gmail.com
2024-10-01,Delhi,Delhi,54207,5641,238,Electronics,shray.chatterjee@gmail.com
2022-08-01,Lucknow,Uttar Pradesh,47675,3129,125,Clothing,arnav.raju@gmail.com
2021-08-01,Kolkata,West Bengal,51935,2928,492,Electronics,parinaaz.raja@renusharmafoundation.org
2023-12-01,Hyderabad,Telangana,43004,4167,67,Home Decor,arnav.vaidya@renusharmafoundation.org
2021-01-01,Kolkata,West Bengal,45533,2593,417,Electronics,zeeshan.bhagat@renusharmafoundation.org
2023-12-01,Ahmedabad,Gujarat,39913,2513,108,Books,parinaaz.shukla@renusharmafoundation.org
2021-05-01,Ahmedabad,Gujarat,74722,5616,103,Home Decor,vihaan.kapadia@gmail.com
2024-10-01,Bengaluru,Karnataka,76140,9232,341,Clothing,kiaan.rajan@renusharmafoundation.org
2021-02-01,Kolkata,West Bengal,42013,3924,97,Clothing,bhamini.hegde@gmail.com
2023-07-01,Chennai,Tamil Nadu,45320,6427,183,Books,shray.gole@gmail.com
2024-08-01,Jaipur,Rajasthan,41913,2149,178,Clothing,vardaniya.jaggi@renusharmafoundation.org
2023-05-01,Hyderabad,Telangana,49474,4167,261,Books,hansh.vora@yahoo.com
2024-02-01,Chennai,Tamil Nadu,51492,7308,238,Grocery,nirvi.reddy@yahoo.com
2021-04-01,Bhopal,Madhya Pradesh,84559,5883,181,Clothing,elakshi.kota@renusharmafoundation.org
2023-04-01,Ahmedabad,Gujarat,64410,4502,154,Electronics,kanav.butala@renusharmafoundation.org
2024-07-01,Jaipur,Rajasthan,43230,2351,96,Clothing,biju.gera@yahoo.com
2021-12-01,Mumbai,Maharashtra,50262,6197,177,Clothing,zoya.tata@yahoo.com
2021-07-01,Mumbai,Maharashtra,19937,2241,106,Grocery,hrishita.subramaniam@renusharmafoundation.org
2024-09-01,Hyderabad,Telangana,8905,1258,228,Home Decor,hridaan.chawla@yahoo.com
2023-09-01,Ahmedabad,Gujarat,26256,2263,480,Electronics,chirag.swamy@gmail.com
2021-02-01,Hyderabad,Telangana,42420,3837,62,Books,bhamini.tailor@gmail.com
2024-08-01,Hyderabad,Telangana,65442,9022,297,Clothing,prisha.bose@gmail.com
2024-06-01,Delhi,Delhi,56071,3259,121,Electronics,azad.bal@renusharmafoundation.org
2021-09-01,Kolkata,West Bengal,66188,9145,239,Electronics,reyansh.ramaswamy@yahoo.com
2024-04-01,Bhopal,Madhya Pradesh,48034,3788,81,Clothing,piya.kalla@gmail.com
2024-10-01,Delhi,Delhi,55277,6875,428,Electronics,dharmajan.virk@gmail.com
2022-09-01,Chennai,Tamil Nadu,32609,2232,141,Books,lakshay.golla@renusharmafoundation.org
2021-12-01,Lucknow,Uttar Pradesh,37551,5526,142,Electronics,sana.guha@yahoo.com
2021-12-01,Hyderabad,Telangana,34222,4969,463,Clothing,renee.vala@gmail.com
2021-05-01,Bhopal,Madhya Pradesh,60801,4353,430,Books,pranay.gera@renusharmafoundation.org
2024-11-01,Hyderabad,Telangana,57480,5956,439,Clothing,ojas.goel@renusharmafoundation.org
2022-12-01,Ahmedabad,Gujarat,50998,6994,141,Clothing,kabir.babu@yahoo.com
2021-07-01,Hyderabad,Telangana,44197,2830,479,Electronics,hansh.rau@renusharmafoundation.org
2024-08-01,Hyderabad,Telangana,49211,3985,484,Books,vihaan.mall@yahoo.com
2023-02-01,Hyderabad,Telangana,56022,4644,418,Grocery,mishti.cheema@renusharmafoundation.org
